id,artist,title
4001,the sunlovers,my poor heart
4002,the superb's,so glad your home
4003,the superbs,he's an aries man
4004,the superbs,i was born when you kissed me
4005,the superbs,where or when
4006,the superiors band,amateur lover
4007,the superlatives,forget about tomorrow
4008,the superlatives,it's easy to love
4009,the superlatives,i still love you
4010,the superlatives,won't you please be my baby
4011,the supreme jubilees,it'll all be over
4012,the surviving hearts,every little teardrop
4013,the suspects,that's how i feel
4014,the swiss movement,the grass is greener
4015,the swiss movement,trying to win your love
4016,the symphonic four,who do you think your fooling
4017,the symphonics,she's just a sad girl
4018,the symphonies,that's what love will do
4019,the syndicate,swear i do
4020,the t m g's,what can i do
4021,the t n j s,falling in love
4022,the tempos,i call it love
4023,the temptations,hey girl i like your style
4024,the temptations,you're my everything thing
4025,the teques,don't push my love cup
4026,the tmg's,takes a little time
4027,the tnj's,i didn't know
4028,the traditions,my heart
4029,the trends,a night for love
4030,the trends,check my tears
4031,the trumains,girl don't let me down
4032,the truths inc,if i had a love
4033,the truths inc,why then
4034,the turbulations,im in love
4035,the turks,you turn me on
4036,the teardrop tears,when we get married pt 2
4037,the techniques,when you're away
4038,the temptones,goodbye
4039,the temprees,if i could say whats on my mind
4040,the temprees,your love is all i need
4041,the tenth dymentions,my love for you is growing wild
4042,the theatrics,we got love
4043,the thirteenth amendment,that's me without you
4044,the thompson's,seems like i've known you
4045,the thompsons,i'll get over it
4046,the thompsons,i'll always love you
4047,the three men in black,i was sent here to love you
4048,the three pages,wait one minute baby
4049,the thrillers,leading two lives with four woman
4050,the thrills,no one
4051,the tips,if i say
4052,the top shelf,let them keep on talking
4053,the topics,choice of a million girls
4054,the topics,giving up
4055,the topics,i don't have to cry
4056,the topics,if love comes knockin
4057,the topics,please take this heart of mine
4058,the topics,recording years
4059,the torches,darn your love
4060,the traces,what am i to do
4061,the traits,someday some way
4062,the travelers,love is a part of living
4063,the trends,a night for love
4064,the trey j's,we got a thing going on
4065,the trey j's,we got a thing going on
4066,the triads,now i can hold my head up high
4067,the tridels,this thing called love
4068,the tridels,what can i do
4069,the true effect,do you believe
4070,the trumains,girl don't let me down
4071,the truths inc,waiting for your love
4072,the turn arounds,stay away
4073,the turn of the century,a man in love
4074,the turner brothers,i'm the man for you baby
4075,the turquinettes,take another look
4076,the twenty dollar friendship,people say we're in love
4077,the two thing's in one,close the door
4078,the tylons,walk out the door
4079,the ultimates,miss you sometimes
4080,the ultimates,why i love you
4081,the untouchables,savin all my love
4082,the uptight sound creation,blind am i
4083,the us - peace
4084,the us,lets do it today
4085,the utopias,welcome baby to my heart
4086,the ulti mations,without you
4087,the ultimates,just because you've gone and left me
4088,the ultimates combo feat michael miller,why did you leave me
4089,the ultimates progressive movement,jazzman
4090,the ultimates,why i love you
4091,the ultimations,would i do it over
4092,the unhooked generation,the big let down
4093,the unifics,dawn of a new day
4094,the unifics,the tables turned
4095,the united souls,i want to be sweeter to you
4096,the unknowns,please don't go
4097,the untouchables,standing there
4098,the uptones,no more
4099,the v i p's,if he wants me
4100,the vanguards,man without knowledge
4101,the vareeations,it's the loving season
4102,the variations,baby don't leave me
4103,the variations,the time
4104,the vibrations,when will my turn come
4105,the victones,somebody really loves you guess who
4106,the visitors,i'm gonna stay
4107,the voice masters,you've hurt me baby
4108,the volunteers,baby baby baby love
4109,the valdons,i who have nothing
4110,the valdons,just how much can one man stand
4111,the valdons,love me leave me
4112,the valdons,stop, wait a minute girl
4113,the valdons,whatcha gonna do
4114,the valentino's featuring bobby womack,two lover's history
4115,the vallords,somebody please
4116,the valtones,i was made to love you
4117,the van dykes,never let me go
4118,the vanguards,falling out of love
4119,the vanguards,good time bad times
4120,the vanguards,you're breaking my heart
4121,the vandals,i'm gonna wait for you
4122,the vandals,i'm gonna wait for you
4123,the vandals,in my opinion
4124,the vanguards,somebody please
4125,the vanguards - woman come home
4126,the variations empty words
4127,the variations of love,i'll always love you
4128,the variations of love,i'll always love you
4129,the vatones
4130,the velons,that's what love can do
4131,the vels,what good am i without you
4132,the ventura's,when we first met
4133,the versatiles,where did you go
4134,the vibrations,follow your heart
4135,the vibrations,make it last
4136,the vibrations,when will my time come
4137,the vibrations,and i love her
4138,the vibrations,finding out the hard way
4139,the vibrations,when will my turn come
4140,the victors,not only a girl knows
4141,the village callers,when you're gone
4142,the village choir,talk to me sometimes
4143,the visitors,little golden band
4144,the visitors,what about me
4145,the visitors,until you came along
4146,the voltaires,movin movin on
4147,the volumes,one way lover
4148,the volumes,a way to love you
4149,the von ryan express,rules of love
4150,the webb people,i'm sending vibrations
4151,the webs,keep your love strong
4152,the webs,tomorrow
4153,the webs,try loving me
4154,the wheelers,once i had a girl
4155,the whispers,i'm the one
4156,the whispers,all i ever do is dream of you
4157,the whispers,the time will come
4158,the whispers,where have you been
4159,the wailers & the soul brother orchestra,i'm still waiting
4160,the wailers,ska jerk
4161,the walker family,think it over
4162,the wallace brothers,whatcha feel is whatcha get
4163,the webb people,let's make love our favorite past time
4164,the webs,we belong together
4165,the webs,try loving me
4166,the whispers,what will i do
4167,the whispers,give a little love
4168,the whispers,needle in a haystack
4169,the whispers,never again
4170,the williams brothers,that's life
4171,the windjammers,why can't it be
4172,the world's funkiest band,when you're alone
4173,the x cessors,silent weapon
4174,the yeomans,i'm the guy
4175,the young devines,i'll show you with love
4176,the young gents,think about the children
4177,the young hearts,do you have the time
4178,the young hearts,oo la we
4179,the younghearts,beginning of the end
4180,the younghearts,dedicate my life to you
4181,the years peoples band,you came along and changed my whole life and made it worth living
4182,the young divines,i'll show you with love
4183,the young dreamers,girl, where have you been
4184,the young hearts,oh i'll never be the same
4185,the young hearts,young hearts get lonely too
4186,the young hearts feat ron preyer,keep on walking
4187,the young souls,puppet on a string
4188,the youngeraires,god is still on the throne
4189,the yum yums,gonna be a big thing
4190,the zircons,you ain't coming back
4191,thee baby cuffs,you're my reason
4192,thee baby cuffs & the m tet,where did our pride go
4193,thee baby cuffs,how could i right all my wrongs
4194,thee baby cuffs,my my my baby
4195,thee chekkers,please don't go
4196,thee heart tones,will you
4197,thee heart tones,don't take me as a fool
4198,thee illusions,i know we're in love
4199,thee illusions,thunderstorms & earthquakes
4200,thee illusions,once in a life time
4201,thee illusions,where did he come from
4202,thee illusions,baby don't waste my time
4203,thee lakesiders,can't fool me twice
4204,thee sacred souls,love is the way
4205,thee sacred souls,it's our love
4206,thee sacred souls,will i see you again
4207,thee sacred souls,easier said than done
4208,thee sacred souls,trade of hearts
4209,thee sacred souls,can i call you rose
4210,thee sacred souls,future lover
4211,thee sacred souls,weak for your love
4212,thee sinseers,what's his name
4213,thee sinseers,i don't mind
4214,thee sinseers,seems like
4215,thee unknown 4,sad girl
4216,thee vellords,somebody please
4217,theresa lindsey,wonderful one
4218,theron & darrell,i was made to love her
4219,these gents,yesterday standing by part 1 & 2
4220,these gents,yesterday standing by
4221,third creation,down by the river
4222,third creation,leave it all behind me
4223,third position trio magnificent 4,she loves me
4224,this is where i long to be (1968),victory chorale ensemble
4225,this little light of mine (1980),essie moss
4226,thomas east & the play boys,sam phillips acetate
4227,three reasons,go right on
4228,thunder king's x,vintage sample
4229,till i found the lord (1986),kansas city gospel music seminar
4230,timmy norman,i'm coming home
4231,timmy smith,i'm willing to love you
4232,timothy wilson,my queen of hearts
4233,timothy wilson,my queen of hearts
4234,timothy wilson,say it again
4235,tito ramos,so you need someone
4236,to the glory of god (1973),original the voices supreme
4237,toby bullard,so glad i'm in love
4238,together,how do you say goodbye
4239,tom & jerrio,come on and love me
4240,tommie young,she don't have to see you
4241,tommie young,you came just in time
4242,tommy ellison & the rappers,i'v tried
4243,tommy mcgee,it's you
4244,tommy mcgee,guilty
4245,tommy mcgee,make sure
4246,tommy mcgee,to make you happy
4247,tommy t & company,anytime, anyplace, anywhere
4248,tommy tate,i'm taking no pain
4249,tommy tate,if you gotta love somebody
4250,tommy turner,i'll be gone
4251,tommy vann & the professionals,im so alone
4252,tommy williams,going crazy over you
4253,tomorrow's people,lovers to friends
4254,tomorrows men,it's real
4255,tomorrows promise,your sweet your fine your everything
4256,tomorrows promise,he don't love you like i do
4257,tomorrows promise,should i follow my heart
4258,tomorrows promise,that's the way it will stay
4259,toney fountaine,i found the girl
4260,toney fountaine,come back to me
4261,toni & the harts,never change our love
4262,tony baxter,let the past be the past
4263,tony black & revolution,compared to what huh
4264,tony borders,promise to myself
4265,tony bowens & the soul choppers,boilin water
4266,tony bruno,hard to get thing called love
4267,tony daniels,drip drop
4268,tony drake,let's play house
4269,tony drake,living in the footsteps of another man
4270,tony hester,just can't leave you
4271,tony hester,nothing can stop me from loving you
4272,tony mason,lovely weekend
4273,tony morgan & the mussel power band,black skin blue-eyed boys
4274,tony orlando,think before you act
4275,tony owens,wishing, waiting, hoping
4276,tony owens,when your wrong
4277,tony owners,this is my prayer
4278,tony troutman,i truly love you
4279,top shelf,give it up
4280,total unity,i'm taken a stroll with the one i adore
4281,traveling (scattered sheep),songs&hymns
4282,tribute to jesus (1978),cj's of church of jesus springfield, ohio
4283,trish toledo & thee sinseers,thee only one
4284,trish toledo,do you love
4285,trouble don't last always (1983),paul beasley
4286,true movement,what a lovely way to meet
4287,true tones,that's love
4288,tucker brothers plus,love never fails
4289,turn of the century,man in love
4290,tut sutton,no appreciation
4291,twennynine with lenny white,all i want
4292,two things in one,together forever
4293,two tons of love,what good am i without you
4294,ty causey,ya some kind of wonderful
4295,tyrone ashley & the del larks,queen city
4296,tyrone ashley,love sweet love
4297,tyrone ashley,love sweet love
4298,tyrone davis,a woman needs to be loved
4299,tyrone davis,you can't keep a good man down
4300,tyrone harris,nothing seems to go right
4301, tyronne street & the fantastic soul revue, mamas little girl
4302, tyronne street & the soul revue mama's little girl
4303, unique blend, does he treat you better
4304, unique blend, mommy & daddy
4305, unique blend, old fashioned woman
4306, unique blend, yes i'm in love with you
4307, united soul i, miss my baby
4308, unity, going to a carnival
4309, unity, going to carnival full version
4310, unity, girl i think i love you
4311, unknown soul group, a lost soul
4312, upheaval now that you've gone
4313, upheaval paradise lost
4314, uptights band, mirrors don't ever lie
4315, uptights band, mirrors don't ever lie
4316, united sounds, it's all over baby
4317, united states air force symphony orchestra, let's do it today
4318, united voice black & white family make it last
4319, unity & the downbeats, love dream
4320, unity baptist choir, one day at a time
4321, universal mind, for you girl
4322, universal minds, i betcha
4323, unknown artist, goodbye baby
4324, unlimited four, true love is hard to find
4325, unlimited four, true love is hard to find
4326, unnatural funk band, living in the past
4327, ural thomas, pain is the name of your game
4328, van jones & the jays, i fooled myself
4329, van mccoy mr d j, rock'n records # 101
4330, veda, you can love again
4331, vee gees, its so hard to say so long
4332, velons, why don't you write me
4333, vic & the catalinas, talkin about my girl
4334, vic pitts and the cheaters, you made me love you
4335, vicki anderson, wide awake in a dream
4336, viscount oliver, i stand accused
4337, vise, baby i love you
4338, vision, lost in a dream
4339, vivian copeland, he knows my key - is always in the mailbox
4340, vows, lost in a city
4341, val martin, what can i do
4342, valerie lamar, gotta get away
4343, van jones, your love is like a high
4344, van jones & the jays, i want to groove you
4345, van jones, time has made me new
4346, van jones and the jays, time has made a new man of me
4347, vanguards, gotta have love
4348, vass corporation, all the love we lost
4349, veda, you can love again
4350, verble domino, faded memory
