filename	author	year
001_1.mp3	Café Au Lait	1970s
001_2.mp3	Café Au Lait	1970s
001_3.mp3	Café Au Lait	1970s
001_4.mp3	Café Au Lait	1970s
001_5.mp3	Café Au Lait	1970s
001_6.mp3	Café Au Lait	1970s
001_7.mp3	Café Au Lait	1970s
001_8.mp3	Café Au Lait	1970s
001_9.mp3	Café Au Lait	1970s
002_1.mp3	Café Au Lait	1970s
002_10.mp3	Café Au Lait	1970s
002_11.mp3	Café Au Lait	1970s
002_12.mp3	Café Au Lait	1970s
002_13.mp3	Café Au Lait	1970s
002_14.mp3	Café Au Lait	1970s
002_15.mp3	Café Au Lait	1970s
002_16.mp3	Café Au Lait	1970s
002_17.mp3	Café Au Lait	1970s
002_18.mp3	Café Au Lait	1970s
002_19.mp3	Café Au Lait	1970s
002_2.mp3	Café Au Lait	1970s
002_20.mp3	Café Au Lait	1970s
002_21.mp3	Café Au Lait	1970s
002_22.mp3	Café Au Lait	1970s
002_23.mp3	Café Au Lait	1970s
002_24.mp3	Café Au Lait	1970s
002_3.mp3	Café Au Lait	1970s
002_4.mp3	Café Au Lait	1970s
002_5.mp3	Café Au Lait	1970s
002_6.mp3	Café Au Lait	1970s
002_7.mp3	Café Au Lait	1970s
002_8.mp3	Café Au Lait	1970s
002_9.mp3	Café Au Lait	1970s
003_1.mp3	Café Au Lait	1970s
003_10.mp3	Café Au Lait	1970s
003_11.mp3	Café Au Lait	1970s
003_12.mp3	Café Au Lait	1970s
003_13.mp3	Café Au Lait	1970s
003_14.mp3	Café Au Lait	1970s
003_15.mp3	Café Au Lait	1970s
003_16.mp3	Café Au Lait	1970s
003_2.mp3	Café Au Lait	1970s
003_3.mp3	Café Au Lait	1970s
003_4.mp3	Café Au Lait	1970s
003_5.mp3	Café Au Lait	1970s
003_6.mp3	Café Au Lait	1970s
003_7.mp3	Café Au Lait	1970s
003_8.mp3	Café Au Lait	1970s
003_9.mp3	Café Au Lait	1970s
004_1.mp3	Café Au Lait	1970s
004_10.mp3	Café Au Lait	1970s
004_11.mp3	Café Au Lait	1970s
004_12.mp3	Café Au Lait	1970s
004_13.mp3	Café Au Lait	1970s
004_14.mp3	Café Au Lait	1970s
004_15.mp3	Café Au Lait	1970s
004_16.mp3	Café Au Lait	1970s
004_2.mp3	Café Au Lait	1970s
004_3.mp3	Café Au Lait	1970s
004_4.mp3	Café Au Lait	1970s
004_5.mp3	Café Au Lait	1970s
004_6.mp3	Café Au Lait	1970s
004_7.mp3	Café Au Lait	1970s
004_8.mp3	Café Au Lait	1970s
004_9.mp3	Café Au Lait	1970s
